"","listFiles","listNumExp","lightIntensity1","productivity1","productivitySE1","nLight1","r2Light1","pvalueLight1","respiration1","respirationSE1","nDark1","r2Dark1","pvalueDark1","lightIntensity2","productivity2","productivitySE2","nLight2","r2Light2","pvalueLight2","respiration2","respirationSE2","nDark2","r2Dark2","pvalueDark2"
"13","21_10_27_lustulia_HiCoMeLi.csv",18,48.3720299987813,0.0245232013117463,0.000163126681283355,150,0.993449911977271,1.00773236893679e-163,-0.0458734516658563,0.000129232504310285,225,0.998225398830536,6.1059692095521e-309,99.887109553798,0.0828251642993469,0.000382389587543985,99,0.997915429563735,4.61469096643015e-132,-0.0432005699838274,0.000213341241438663,118,0.997154689468029,9.83291896689952e-150
"11","21_10_27_lustulia_HiCoHiLi.csv",19,99.8353635533792,0.0571419255119222,0.000186810366529593,144,0.998473946988607,4.38947775939546e-202,-0.0473345274559336,0.000345135265836789,148,0.99224499778507,3.49743662706265e-156,50.9975269557889,0.0240705537908282,0.000130959217398169,216,0.993675938756778,1.68858134037198e-237,-0.0527314920258124,0.000163352751161172,134,0.998725280472816,3.82066251651987e-193
"24","21_10_29_lustulia_LoCoLoLi.csv",20,50.8021230276011,-0.00331638226416291,0.000305702319383721,95,0.553842372135042,3.34704833208606e-18,-0.0252581709480451,9.37961317296373e-05,226,0.996906792024332,2.7299378154952e-283,100.193337558523,0.0125421687927526,0.000312358758320298,86,0.949890067565888,1.34961297448597e-56,-0.0247854958214824,0.000185374723381876,128,0.992945612920024,1.22755019385148e-137
"25","21_10_29_lustulia_LoCoMeLi.csv",21,100.172777134277,-0.00718035711815432,0.00017542064508959,141,0.922841502829402,2.01142881620967e-79,-0.0376069000112203,0.000169558031995754,146,0.99706099569833,2.07324242514807e-184,51.680072318175,-0.0125818422763349,0.000118377513898487,180,0.984400408742258,5.62359349634015e-163,-0.0379261159158056,0.000197603076327925,141,0.996213804390262,1.99158897189075e-170
"23","21_10_29_lustulia_LoCoHiLi.csv",22,51.5902426242193,-0.0245714788600634,0.000227027185617619,161,0.98652409639346,7.70610879231534e-151,-0.0349924105591314,0.000241327962794473,132,0.993807559825286,1.25937001171608e-145,99.092072001156,-0.0118166501796138,0.000183109886329251,150,0.965449452462638,2.83663893628634e-110,-0.0430668777040504,0.000164687258758525,171,0.99752023677932,2.50633865613726e-222
"27","21_10_29_lustulia_MeCoLoLi.csv",23,98.9687415708276,0.0305574037879144,0.000244636973960848,145,0.990854415568656,6.85006409579891e-148,-0.0253712672953317,0.000219239750995804,148,0.989141682224946,1.64286367532389e-145,51.9076054884094,0.0118834754876383,0.000167437538240066,149,0.971451213741519,1.23875209734384e-115,-0.0281913342008786,0.000174401879693449,152,0.994254047928615,3.5491187646722e-170
"28","21_10_29_lustulia_MeCoMeLi.csv",24,51.8836981937717,-0.00320762589353232,0.000236884454044698,145,0.55876357793975,2.1087046029751e-27,-0.0358120815931086,0.000223570609222566,146,0.99438036950428,3.85270222838357e-164,102.461422756418,0.0146595224421493,0.000178445193978321,170,0.975566921376716,1.47088771053094e-137,-0.0378309161939591,0.000249908006741051,147,0.993668886167269,1.63216944386033e-161
"26","21_10_29_lustulia_MeCoHiLi.csv",25,102.344355472664,-0.00213721022240498,0.000178329558918309,149,0.490762987389461,1.62129002678664e-23,-0.047154749517989,0.000169737796274623,171,0.997802113798601,9.34880224159261e-227,51.8783024159906,-0.00953046274132647,0.000126373290639773,171,0.97097216270424,4.84139384348929e-132,-0.036814428642901,0.00020627857581617,135,0.995810451397732,3.14684492229483e-160
"21","21_10_29_lustulia_HiCoLoLi.csv",26,51.8748497452274,0.0269078851058415,0.00025884837537817,124,0.988744593547307,5.98464702604523e-121,-0.0417386666556348,0.000206711582008752,150,0.996358627691601,1.36160553088976e-182,99.5006115969199,0.0881018795546334,0.000232822294219025,161,0.998883864825317,7.54769959282958e-237,-0.043928390866564,0.000178793177046724,151,0.997521254693129,2.94443241972877e-196
"22","21_10_29_lustulia_HiCoMeLi.csv",27,105.160572043689,0.0715250954026702,0.000224132078850851,148,0.998558594084165,1.56429917418545e-209,-0.0510637012767619,0.000266972665208578,125,0.996621896172593,4.50756295285557e-154,50.6248314964212,0.0234441790404047,0.00054807394479625,236,0.886129616123572,1.33703578020917e-112,-0.056290815790247,0.000202373455570697,145,0.99814222743899,2.19019929763861e-197
