Latest: Time (min),Latest: Dissolved O2 (mg/L),Latest: LED (umol photons/m2/s),Latest: S171 Temp (V) (V),Latest: Temperature (°C)
5.05,2.004194652,50.5124762,1.312789917,22.7186446
5.066666667,2.004194652,50.59585938,1.312789917,22.7186446
5.083333333,2.004726904,50.55416779,1.312713623,22.71996659
5.1,2.004194652,50.55416779,1.312942505,22.71600088
5.116666667,2.005259156,50.5124762,1.312866211,22.71732269
5.133333333,2.004726904,50.5124762,1.313018799,22.71467915
5.15,2.004726904,50.55416779,1.313171387,22.71203594
5.166666667,2.007388164,50.55416779,1.313171387,22.71203594
5.183333333,2.006855912,50.59585938,1.313095093,22.7133575
5.2,2.00632366,50.63755096,1.313018799,22.71467915
5.216666667,2.004460778,50.59585938,1.313018799,22.71467915
5.233333333,2.005525282,50.55416779,1.313095093,22.7133575
5.25,2.006057534,50.5124762,1.312942505,22.71600088
5.266666667,2.008718794,50.59585938,1.313018799,22.71467915
5.283333333,2.007122038,50.63755096,1.313018799,22.71467915
5.3,2.007388164,50.63755096,1.313018799,22.71467915
5.316666667,2.005259156,50.55416779,1.313018799,22.71467915
5.333333333,2.005791408,50.55416779,1.313095093,22.7133575
5.35,2.003928526,50.63755096,1.313095093,22.7133575
5.366666667,2.0036624,50.63755096,1.313323975,22.70939309
5.383333333,2.002864022,50.59585938,1.313095093,22.7133575
5.4,2.003928526,50.55416779,1.313018799,22.71467915
5.416666667,2.005259156,50.55416779,1.313171387,22.71203594
5.433333333,2.005259156,50.47078461,1.313171387,22.71203594
5.45,2.00499303,50.5124762,1.313095093,22.7133575
5.466666667,2.004460778,50.63755096,1.313095093,22.7133575
5.483333333,2.0036624,50.55416779,1.313018799,22.71467915
5.5,2.00499303,50.59585938,1.313095093,22.7133575
5.516666667,2.0036624,50.59585938,1.313018799,22.71467915
5.533333333,2.002864022,50.59585938,1.313018799,22.71467915
5.55,2.003396274,50.59585938,1.313018799,22.71467915
5.566666667,2.003130148,50.59585938,1.313018799,22.71467915
5.583333333,2.004460778,50.59585938,1.313171387,22.71203594
5.6,2.004726904,50.59585938,1.313323975,22.70939309
5.616666667,2.005259156,50.67924255,1.313095093,22.7133575
5.633333333,2.004194652,50.63755096,1.313095093,22.7133575
5.65,2.003928526,50.55416779,1.313018799,22.71467915
5.666666667,2.003396274,50.55416779,1.313095093,22.7133575
5.683333333,2.003130148,50.67924255,1.313095093,22.7133575
5.7,2.003396274,50.55416779,1.313018799,22.71467915
5.716666667,2.002065644,50.63755096,1.313095093,22.7133575
5.733333333,2.002864022,50.59585938,1.313018799,22.71467915
5.75,2.002864022,50.59585938,1.313171387,22.71203594
5.766666667,2.004194652,50.67924255,1.313247681,22.71071447
5.783333333,2.003928526,50.67924255,1.313095093,22.7133575
5.8,2.0036624,50.63755096,1.313171387,22.71203594
5.816666667,2.003928526,50.63755096,1.313247681,22.71071447
5.833333333,2.003928526,50.63755096,1.313018799,22.71467915
5.85,2.003396274,50.59585938,1.313018799,22.71467915
5.866666667,2.003396274,50.67924255,1.312942505,22.71600088
5.883333333,2.002597896,50.59585938,1.313171387,22.71203594
5.9,2.004726904,50.55416779,1.313095093,22.7133575
5.916666667,2.003396274,50.55416779,1.313247681,22.71071447
5.933333333,2.00632366,50.5124762,1.313095093,22.7133575
5.95,2.006057534,50.59585938,1.313095093,22.7133575
5.966666667,2.006855912,50.55416779,1.313018799,22.71467915
5.983333333,2.006057534,50.55416779,1.313095093,22.7133575
6,2.005791408,50.67924255,1.313247681,22.71071447
6.016666667,2.006057534,50.59585938,1.313247681,22.71071447
6.033333333,2.006057534,50.67924255,1.313247681,22.71071447
6.05,2.006057534,50.59585938,1.313171387,22.71203594
6.066666667,2.005791408,50.67924255,1.313171387,22.71203594
6.083333333,2.005259156,50.63755096,1.313171387,22.71203594
6.1,2.004460778,50.67924255,1.313247681,22.71071447
6.116666667,2.005259156,50.72093414,1.313247681,22.71071447
6.133333333,2.00233177,50.63755096,1.313247681,22.71071447
6.15,2.00233177,50.63755096,1.313323975,22.70939309
6.166666667,2.003396274,50.63755096,1.313247681,22.71071447
6.183333333,2.005259156,50.63755096,1.313323975,22.70939309
6.2,2.00632366,50.67924255,1.313323975,22.70939309
6.216666667,2.003928526,50.59585938,1.313247681,22.71071447
6.233333333,2.00233177,50.63755096,1.313247681,22.71071447
6.25,2.0036624,50.63755096,1.313323975,22.70939309
6.266666667,2.0036624,50.63755096,1.313247681,22.71071447
6.283333333,2.004194652,50.55416779,1.313323975,22.70939309
6.3,2.005791408,50.63755096,1.313323975,22.70939309
6.316666667,2.007122038,50.67924255,1.313323975,22.70939309
6.333333333,2.005791408,50.55416779,1.313247681,22.71071447
6.35,2.003928526,50.5124762,1.313171387,22.71203594
6.366666667,2.005259156,50.59585938,1.313476563,22.70675057
6.383333333,2.007122038,50.5124762,1.313247681,22.71071447
6.4,2.007122038,50.55416779,1.313247681,22.71071447
6.416666667,2.007388164,50.55416779,1.313171387,22.71203594
6.433333333,2.007920416,50.63755096,1.313323975,22.70939309
6.45,2.00765429,50.63755096,1.313247681,22.71071447
6.466666667,2.007920416,50.59585938,1.313247681,22.71071447
6.483333333,2.00898492,50.67924255,1.313400269,22.70807179
6.5,2.009251045,50.72093414,1.313400269,22.70807179
6.516666667,2.009783297,50.67924255,1.313323975,22.70939309
6.533333333,2.010049423,50.63755096,1.313323975,22.70939309
6.55,2.007388164,50.55416779,1.313552856,22.70542945
6.566666667,2.00632366,50.59585938,1.313552856,22.70542945
6.583333333,2.005525282,50.67924255,1.313552856,22.70542945
6.6,2.0036624,50.59585938,1.313400269,22.70807179
6.616666667,2.005791408,50.67924255,1.313552856,22.70542945
6.633333333,2.005791408,50.72093414,1.313476563,22.70675057
6.65,2.00632366,50.63755096,1.313552856,22.70542945
6.666666667,2.00632366,50.67924255,1.313552856,22.70542945
6.683333333,2.006589786,50.63755096,1.313552856,22.70542945
6.7,2.003928526,50.59585938,1.313323975,22.70939309
6.716666667,2.00499303,50.76262573,1.313323975,22.70939309
6.733333333,2.00499303,50.67924255,1.313476563,22.70675057
6.75,2.005791408,50.67924255,1.313400269,22.70807179
6.766666667,2.004460778,50.47078461,1.313476563,22.70675057
6.783333333,2.002065644,50.55416779,1.313400269,22.70807179
6.8,2.00233177,50.59585938,1.313400269,22.70807179
6.816666667,2.002065644,50.63755096,1.313476563,22.70675057
6.833333333,2.0036624,50.67924255,1.313400269,22.70807179
6.85,2.005525282,50.59585938,1.313476563,22.70675057
6.866666667,2.007388164,50.55416779,1.313552856,22.70542945
6.883333333,2.00632366,50.67924255,1.313705444,22.70278745
6.9,2.00499303,50.59585938,1.313781738,22.70146658
6.916666667,2.005525282,50.67924255,1.313781738,22.70146658
6.933333333,2.002864022,50.67924255,1.313781738,22.70146658
6.95,2.002597896,50.67924255,1.313934326,22.69882511
6.966666667,2.002065644,50.67924255,1.31401062,22.6975045
6.983333333,2.0036624,50.72093414,1.313934326,22.69882511
7,2.005525282,50.67924255,1.314086914,22.69618397
7.016666667,2.006589786,50.59585938,1.314086914,22.69618397
7.033333333,2.008718794,50.63755096,1.31401062,22.6975045
7.05,2.008186542,50.59585938,1.313781738,22.70146658
7.066666667,2.007388164,50.63755096,1.313781738,22.70146658
7.083333333,2.006057534,50.55416779,1.313781738,22.70146658
7.1,2.006057534,50.59585938,1.313934326,22.69882511
7.116666667,2.006057534,50.63755096,1.313934326,22.69882511
7.133333333,2.005791408,50.63755096,1.31401062,22.6975045
7.15,2.005259156,50.63755096,1.313858032,22.7001458
7.166666667,2.007122038,50.59585938,1.313858032,22.7001458
7.183333333,2.00499303,50.59585938,1.31401062,22.6975045
7.2,2.00499303,50.59585938,1.31401062,22.6975045
7.216666667,2.004460778,50.59585938,1.313858032,22.7001458
7.233333333,2.004726904,50.59585938,1.313705444,22.70278745
7.25,2.005259156,50.63755096,1.313247681,22.71071447
7.266666667,2.005259156,50.55416779,1.313400269,22.70807179
7.283333333,2.005525282,50.55416779,1.313400269,22.70807179
7.3,2.005259156,50.63755096,1.313400269,22.70807179
7.316666667,2.005791408,50.67924255,1.313400269,22.70807179
7.333333333,2.004460778,50.63755096,1.313400269,22.70807179
7.35,2.004726904,50.63755096,1.313323975,22.70939309
7.366666667,2.0036624,50.59585938,1.313400269,22.70807179
7.383333333,2.0036624,50.67924255,1.313476563,22.70675057
7.4,2.002597896,50.59585938,1.31362915,22.70410841
7.416666667,2.002864022,50.67924255,1.313781738,22.70146658
7.433333333,2.003396274,50.63755096,1.313858032,22.7001458
7.45,2.004726904,50.55416779,1.313934326,22.69882511
7.466666667,2.00499303,50.63755096,1.313858032,22.7001458
7.483333333,2.005259156,50.55416779,1.313934326,22.69882511
7.5,2.005259156,50.59585938,1.313781738,22.70146658
7.516666667,2.00499303,50.67924255,1.313705444,22.70278745
7.533333333,2.00499303,50.59585938,1.313705444,22.70278745
7.55,2.006589786,50.59585938,1.313781738,22.70146658
7.566666667,2.005525282,50.59585938,1.313705444,22.70278745
7.583333333,2.004460778,50.59585938,1.313705444,22.70278745
7.6,2.001267267,50.59585938,1.313552856,22.70542945
7.616666667,2.001799518,50.72093414,1.313705444,22.70278745
7.633333333,2.00233177,50.59585938,1.313552856,22.70542945
7.65,2.00233177,50.63755096,1.31362915,22.70410841
7.666666667,2.002597896,50.63755096,1.31362915,22.70410841
7.683333333,2.003130148,50.63755096,1.31362915,22.70410841
7.7,2.002597896,50.63755096,1.31362915,22.70410841
7.716666667,2.002597896,50.67924255,1.31362915,22.70410841
7.733333333,2.003928526,50.67924255,1.313705444,22.70278745
7.75,2.002065644,50.59585938,1.313858032,22.7001458
7.766666667,2.003130148,50.67924255,1.313781738,22.70146658
7.783333333,2.00233177,50.67924255,1.313781738,22.70146658
7.8,2.004194652,50.59585938,1.313858032,22.7001458
7.816666667,2.004460778,50.67924255,1.313781738,22.70146658
7.833333333,2.005259156,50.63755096,1.313781738,22.70146658
7.85,2.006589786,50.63755096,1.31401062,22.6975045
7.866666667,2.005259156,50.59585938,1.31401062,22.6975045
7.883333333,2.005259156,50.59585938,1.314086914,22.69618397
7.9,2.005525282,50.63755096,1.314239502,22.69354318
7.916666667,2.006057534,50.55416779,1.314239502,22.69354318
7.933333333,2.0036624,50.59585938,1.314239502,22.69354318
7.95,2.003396274,50.55416779,1.314468384,22.68958264
7.966666667,2.003928526,50.63755096,1.314239502,22.69354318
7.983333333,2.00233177,50.63755096,1.31439209,22.69090274
8,2.001533392,50.67924255,1.314468384,22.68958264
8.016666667,2.006057534,50.72093414,1.31439209,22.69090274
8.033333333,2.00632366,50.67924255,1.314544678,22.68826263
8.05,2.005791408,50.63755096,1.314544678,22.68826263
8.066666667,2.004726904,50.63755096,1.314697266,22.68562288
8.083333333,2.003130148,50.67924255,1.314697266,22.68562288
8.1,2.003130148,50.67924255,1.314620972,22.68694271
8.116666667,2.003396274,50.80431732,1.314620972,22.68694271
8.133333333,2.005791408,50.76262573,1.314849854,22.68298346
8.15,2.005525282,50.63755096,1.31477356,22.68430313
8.166666667,2.00632366,50.63755096,1.314697266,22.68562288
8.183333333,2.004726904,50.67924255,1.314697266,22.68562288
8.2,2.0036624,50.63755096,1.314697266,22.68562288
8.216666667,2.002597896,50.63755096,1.314620972,22.68694271
8.233333333,2.001267267,50.63755096,1.314849854,22.68298346
8.25,2.003130148,50.59585938,1.314849854,22.68298346
8.266666667,2.005791408,50.63755096,1.31477356,22.68430313
8.283333333,2.007920416,50.59585938,1.314849854,22.68298346
8.3,2.006057534,50.59585938,1.314849854,22.68298346
8.316666667,2.006589786,50.59585938,1.314849854,22.68298346
8.333333333,2.005525282,50.67924255,1.31477356,22.68430313
8.35,2.003928526,50.67924255,1.314849854,22.68298346
8.366666667,2.004726904,50.63755096,1.314849854,22.68298346
8.383333333,2.003928526,50.63755096,1.314849854,22.68298346
8.4,2.002864022,50.63755096,1.314926147,22.68166389
8.416666667,2.002065644,50.72093414,1.314926147,22.68166389
8.433333333,2.002597896,50.67924255,1.31477356,22.68430313
8.45,2.003130148,50.72093414,1.314926147,22.68166389
8.466666667,2.005259156,50.72093414,1.314849854,22.68298346
8.483333333,2.006057534,50.63755096,1.314849854,22.68298346
8.5,2.007920416,50.55416779,1.314849854,22.68298346
8.516666667,2.00632366,50.67924255,1.315078735,22.67902499
8.533333333,2.006589786,50.67924255,1.315002441,22.6803444
8.55,2.006855912,50.67924255,1.315078735,22.67902499
8.566666667,2.00632366,50.67924255,1.315155029,22.67770567
8.583333333,2.005791408,50.67924255,1.315078735,22.67902499
8.6,2.005791408,50.67924255,1.315078735,22.67902499
8.616666667,2.004460778,50.67924255,1.315155029,22.67770567
8.633333333,2.005791408,50.72093414,1.315155029,22.67770567
8.65,2.006855912,50.76262573,1.315078735,22.67902499
8.666666667,2.007122038,50.63755096,1.315078735,22.67902499
8.683333333,2.00499303,50.67924255,1.315078735,22.67902499
8.7,2.006057534,50.5124762,1.315002441,22.6803444
8.716666667,2.005791408,50.5124762,1.315078735,22.67902499
8.733333333,2.003396274,50.55416779,1.314926147,22.68166389
8.75,2.003396274,50.63755096,1.315002441,22.6803444
8.766666667,2.002597896,50.55416779,1.314926147,22.68166389
8.783333333,2.003130148,50.67924255,1.315078735,22.67902499
8.8,2.004460778,50.63755096,1.315002441,22.6803444
8.816666667,2.00632366,50.63755096,1.315155029,22.67770567
8.833333333,2.004460778,50.67924255,1.315078735,22.67902499
8.85,2.005791408,50.72093414,1.315155029,22.67770567
8.866666667,2.007388164,50.67924255,1.315155029,22.67770567
8.883333333,2.00765429,50.59585938,1.315231323,22.67638644
8.9,2.005791408,50.67924255,1.315231323,22.67638644
